Code,Description
8851/3 ,"Liposarcoma, well differentiated"
8852/0 ,Fibromyxolipoma
8852/3 ,Myxoid liposarcoma
8853/3 ,Round cell liposarcoma
8854/0 ,Pleomorphic lipoma
8854/3 ,Pleomorphic liposarcoma
8855/3 ,Mixed type liposarcoma
8856/0,Intramuscular lipoma
8857/0 ,Spindle cell lipoma
8857/3 ,Fibroblastic liposarcoma
8858/3 ,Dedifferentiated liposarcoma
8860/0 ,Angiomyolipoma
8861/0 ,"Angiolipoma, NOS"
8862/0 ,Chondroid lipoma
8870/0 ,Myelolipoma
8880/0 ,Hibernoma
8881/0 ,Lipoblastomatosis
8890/0 ,"Leiomyoma, NOS"
8890/1 ,"Leiomyomatosis, NOS"
8890/3 ,"Leiomyosarcoma, NOS"
8891/0 ,Epithelioid leiomyoma
8891/3 ,Epithelioid leiomyosarcoma
8892/0 ,Cellular leiomyoma
8893/0 ,Bizarre leiomyoma
8894/0 ,Angiomyoma
8894/3 ,Angiomyosarcoma
8895/0 ,Myoma
8895/3 ,Myosarcoma
8896/3 ,Myxoid leiomyosarcoma
8897/1 ,Smooth muscle tumour of uncertain malignant potential
8898/1 ,Metastasising leiomyoma
8900/0 ,"Rhabdomyoma, NOS"
8900/3 ,"Rhabdomyosarcoma, NOS"
8901/3 ,"Pleomorphic rhabdomyosarcoma, adult type"
8902/3 ,Mixed type rhabdomyosarcoma
8903/0 ,Foetal rhabdomyoma
8904/0 ,Adult rhabdomyoma
8905/0 ,"Genital rhabdomyoma (C51._, C52.9)"
8910/3 ,"Embryonal rhabdomyosarcoma, NOS"
8912/3 ,Spindle cell rhabdomyosarcoma
8920/3 ,Alveolar rhabdomyosarcoma
8921/3 ,Rhabdomyosarcoma with ganglionic differentiation
8930/0 ,Endometrial stromal nodule (C54.1)
8930/3 ,"Endometrial stromal sarcoma, NOS (C54.1)"
8931/3 ,"Endometrial stromal sarcoma, low grade (C54.1)"
8932/0 ,Adenomyoma
8933/3 ,Adenosarcoma
8934/3 ,Carcinofibroma
8935/0 ,"Stromal tumour, benign"
8935/1 ,"Stromal tumour, NOS"
8935/3 ,"Stromal sarcoma, NOS"
8936/0 ,"Gastrointestinal stromal tumour, benign"
8936/1 ,"Gastrointestinal stromal tumour, NOS"
8936/3 ,Gastrointestinal stromal sarcoma
8940/0 ,Pleomorphic adenoma
8940/3 ,"Mixed tumour, malignant, NOS"
8941/3 ,"Carcinoma in pleomorphic adenoma (C07._, C08._)"
8950/3 ,M?llerian mixed tumour (C54._)
8951/3 ,Mesodermal mixed tumour
8959/0 ,Benign cystic nephroma (C64.9)
8959/1 ,Cystic partially differentiated nephroblastoma (C64.9)
8959/3 ,Malignant cystic nephroma (C64.9)
8960/1 ,Mesoblastic nephroma
8960/3 ,"Nephroblastoma, NOS (C64.9)"
8963/3 ,Malignant rhabdoid tumour
8964/3 ,Clear cell sarcoma of kidney (C64.9)
8965/0 ,Nephrogenic adenofibroma (C64.9)
8966/0 ,Renomedullary interstitial cell tumour (C64.9)
8967/0 ,Ossifying renal tumour (C64.9)
8970/3 ,Hepatoblastoma (C22.0)
8971/3 ,Pancreatoblastoma (C25._)
8972/3 ,Pulmonary blastoma (C34._)
8973/3 ,Pleuropulmonary blastoma
8974/1 ,Sialoblastoma
8980/3 ,"Carcinosarcoma, NOS"
8981/3 ,"Carcinosarcoma, embryonal"
8982/0 ,Myoepithelioma
8982/3 ,Malignant myoepithelioma
8983/0 ,Adenomyoepithelioma (C50._)
8990/0 ,"Mesenchymoma, benign"
8990/1 ,"Mesenchymoma, NOS"
8990/3 ,"Mesenchymoma, malignant"
8991/3 ,Embryonal sarcoma
9000/0 ,"Brenner tumour, NOS (C56.9)"
9000/1 ,"Brenner tumour, borderline malignancy (C56.9)"
9000/3 ,"Brenner tumour, malignant (C56.9)"
9010/0 ,"Fibroadenoma, NOS (C50._)"
9011/0 ,Intracanalicular fibroadenoma (C50._)
9012/0 ,Pericanalicular fibroadenoma (C50._)
9013/0 ,"Adenofibroma, NOS"
9014/0 ,"Serous adenofibroma, NOS"
9014/1 ,Serous adenofibroma of borderline malignancy
9014/3 ,Serous adenocarcinofibroma
9015/0 ,"Mucinous adenofibroma, NOS"
9015/1 ,Mucinous adenofibroma of borderline malignancy
9015/3 ,Mucinous adenocarcinofibroma
9016/0 ,Giant fibroadenoma (C50._)
9020/0 ,"Phyllodes tumour, benign (C50._)"
9020/1 ,"Phyllodes tumour, borderline (C50._)"
9020/3 ,"Phyllodes tumour, malignant (C50._)"
9030/0 ,Juvenile fibroadenoma (C50._)
9040/0 ,"Synovioma, benign"
9040/3 ,"Synovial sarcoma, NOS"
9041/3 ,"Synovial sarcoma, spindle cell"
9042/3 ,"Synovial sarcoma, epithelioid cell"
9043/3 ,"Synovial sarcoma, biphasic"
9044/3 ,"Clear cell sarcoma, NOS (except of kidney 8964/3)"
9050/0 ,"Mesothelioma, benign"
9050/3 ,"Mesothelioma, malignant"
9051/0 ,"Fibrous mesothelioma, benign"
9051/3 ,"Fibrous mesothelioma, malignant"
9052/0 ,"Epithelioid mesothelioma, benign"
9052/3 ,"Epithelioid mesothelioma, malignant"
9053/3 ,"Mesothelioma, biphasic, malignant"
9054/0 ,"Adenomatoid tumour, NOS"
9055/0 ,"Multicystic mesothelioma, benign"
9055/1 ,"Cystic mesothelioma, NOS (C48._)"
9060/3 ,Dysgerminoma
9061/3 ,"Seminoma, NOS (C62._)"
9062/3 ,"Seminoma, anaplastic (C62._)"
9063/3 ,Spermatocytic seminoma (C62._)
9064/2,Intratubular malignant germ cells (C62._)
9064/3 ,Germinoma
9065/3 ,"Germ cell tumour, nonseminomatous (C62._)"
9070/3 ,"Embryonal carcinoma, NOS"
9071/3 ,Yolk sac tumour
9072/3 ,Polyembryoma
9073/1 ,Gonadoblastoma
9080/0 ,"Teratoma, benign"
9080/1 ,"Teratoma, NOS"
9080/3 ,"Teratoma, malignant, NOS"
9081/3 ,Teratocarcinoma
9082/3 ,"Malignant teratoma, undifferentiated"
9083/3 ,"Malignant teratoma, intermediate"
9084/0 ,"Dermoid cyst, NOS"
9084/3 ,Teratoma with malignant transformation
9085/3 ,Mixed germ cell tumour
9090/0 ,"Struma ovarii, NOS (C56.9)"
9090/3 ,"Struma ovarii, malignant (C56.9)"
9091/1 ,Strumal carcinoid (C56.9)
9100/0 ,"Hydatidiform mole, NOS (C58.9)"
9100/1 ,Invasive hydatidiform mole (C58.9)
9100/3 ,"Choriocarcinoma, NOS"
9101/3 ,Choriocarcinoma combined with other germ cell elements
9102/3 ,"Malignant teratoma, trophoblastic"
9103/0 ,Partial hydatidiform mole (C58.9)
9104/1 ,Placental site trophoblastic tumour (C58.9)
9105/3 ,"Trophoblastic tumour, epithelioid"
9110/0 ,"Mesonephroma, benign"
9110/1 ,"Mesonephric tumour, NOS"
9110/3 ,"Mesonephroma, malignant"
9120/0 ,"Haemangioma, NOS"
9120/3 ,Haemangiosarcoma
9121/0 ,Cavernous haemangioma
9122/0 ,Venous haemangioma
9123/0 ,Racemose haemangioma
9124/3 ,Kupffer cell sarcoma (C22.0)
9125/0 ,Epithelioid haemangioma
9130/0 ,"Haemangioendothelioma, benign"
9130/1 ,"Haemangioendothelioma, NOS"
9130/3 ,"Haemangioendothelioma, malignant"
9131/0 ,Capillary haemangioma
9132/0 ,Intramuscular haemangioma
9133/1 ,"Epithelioid haemangioendothelioma, NOS"
9133/3 ,"Epithelioid haemangioendothelioma, malignant"
9135/1 ,Endovascular papillary angioendothelioma
9136/1 ,Spindle cell haemangioendothelioma
9140/3 ,Kaposi's sarcoma
9141/0 ,Angiokeratoma
9142/0 ,Verrucous keratotic haemangioma
9150/0 ,"Haemangiopericytoma, benign"
9150/1 ,"Haemangiopericytoma, NOS"
9150/3 ,"Haemangiopericytoma, malignant"
9160/0 ,"Angiofibroma, NOS"
9161/0 ,Acquited tufted haemangioma
9161/1 ,Haemangioblastoma
9170/0 ,"Lymphangioma, NOS"
9170/3 ,Lymphangiosarcoma
9171/0 ,Capillary lymphangioma
9172/0 ,Cavernous lymphangioma
9173/0 ,Cystic lymphangioma
9174/0 ,Lymphangiomyoma
9174/1 ,Lymphangiomyomatosis
9175/0 ,Haemolymphangioma
9180/0 ,"Osteoma, NOS (C40._, C41._)"
9180/3 ,"Osteosarcoma, NOS (C40._, C41._)"
9181/3 ,"Chondroblastic osteosarcoma (C40._, C41._)"
9182/3 ,"Fibroblastic osteosarcoma (C40._, C41._)"
9183/3 ,"Telangiectatic osteosarcoma (C40._, C41._)"
9184/3 ,"Osteosarcoma in Paget's disease of bone (C40._, C41._)"
9185/3 ,"Small cell osteosarcoma (C40._, C41._)"
9186/3 ,"Central osteosarcoma (C40._, C41._)"
9187/3 ,"Intraosseous well differentiated osteosarcoma (C40._, C41._)"
9191/0 ,"Osteoid osteoma, NOS (C40._, C41._)"
9192/3 ,"Parosteal osteosarcoma (C40._, C41._)"
9193/3 ,"Periosteal osteosarcoma (C40._, C41._)"
9194/3 ,"High grade surface osteosarcoma (C40._, C41._)"
9195/3 ,"Intracortical osteosarcoma (C40._, C41._)"
9200/0 ,"Osteoblastoma, NOS (C40._, C41._)"
9200/1 ,"Aggressive osteoblastoma (C40._, C41._)"
9210/0 ,"Osteochondroma (C40._, C41._)"
9210/1 ,"Osteochondromatosis, NOS (C40._, C41._)"
9220/0 ,"Chondroma, NOS (C40._, C41._)"
9220/1 ,"Chondromatosis, NOS"
9220/3 ,"Chondrosarcoma, NOS (C40._, C41._)"
9221/0 ,"Juxtacortical chondroma (C40._, C41._)"
9221/3 ,"Juxtacortical chondrosarcoma (C40._, C41._)"
9230/0 ,"Chondroblastoma, NOS (C40._, C41._)"
9230/3 ,"Chondroblastoma, malignant (C40._, C41._)"
9231/3 ,Myxoid chondrosarcoma
9240/3 ,Mesenchymal chondrosarcoma
9241/0 ,"Chondromyxoid fibroma (C40._, C41._)"
9242/3 ,"Clear cell chondrosarcoma (C40._, C41._)"
9243/3 ,"Dedifferentiated chondrosarcoma (C40._, C41._)"
9250/1 ,"Giant cell tumour of bone, NOS (C40._, C41._)"
9250/3 ,"Giant cell tumour of bone, malignant (C40._, C41._)"
9251/1 ,"Giant cell tumour of soft parts, NOS"
9251/3 ,Malignant giant cell tumour of soft parts
9252/0 ,Tenosynovial giant cell tumour (C49._)
9252/3 ,Malignant tenosynovial giant cell tumour (C49._)
9260/3 ,Ewing's sarcoma
9261/3 ,Adamantinoma of long bones (C40._)
9262/0 ,Ossifying fibroma
9270/0 ,"Odontogenic tumour, benign"
9270/1 ,"Odontogenic tumour, NOS"
9270/3 ,"Odontogenic tumour, malignant"
9271/0 ,Ameloblastic fibrodentinoma
9272/0 ,"Cementoma, NOS"
9273/0 ,"Cementoblastoma, benign"
9274/0 ,Cementifying fibroma
9275/0 ,Gigantiform cementoma
9280/0 ,"Odontoma, NOS"
9281/0 ,Compound odontoma
9282/0 ,Complex odontoma
9290/0 ,Ameloblastic fibro-odontoma
9290/3 ,Ameloblastic odontosarcoma
9300/0 ,Adenomatoid odontogenic tumour
9301/0 ,Calcifying odontogenic cyst
9302/0 ,Odontogenic ghost cell tumour
9310/0 ,"Ameloblastoma, NOS"
9310/3 ,"Ameloblastoma, malignant"
9311/0 ,Odontoameloblastoma
9312/0 ,Squamous odontogenic tumour
9320/0 ,Odontogenic myxoma
9321/0 ,Central odontogenic fibroma
9322/0 ,Peripheral odontogenic fibroma
9330/0 ,Ameloblastic fibroma
9330/3 ,Ameloblastic fibrosarcoma
9340/0 ,Calcifying epithelial odontogenic tumour
9341/1 ,Clear cell odontogenic tumour
9342/3 ,Odontogenic carcinosarcoma
9350/1 ,Craniopharyngioma (C75.2)
9351/1 ,"Craniopharyngioma, adamantinomatous (C75.2)"
9352/1 ,"Craniopharyngioma, papillary (C75.2)"
9360/1 ,Pinealoma (C75.3)
9361/1 ,Pineocytoma (C75.3)
9362/3 ,Pineoblastoma (C75.3)
9363/0 ,Melanotic neuroectodermal tumour
9364/3 ,Peripheral neuroectodermal tumour
9365/3 ,Askin tumour
9370/3 ,"Chordoma, NOS"
9371/3 ,Chondroid chordoma
9372/3 ,Dedifferentiated chordoma
9373/0 ,Parachordoma
9380/3 ,"Glioma, malignant (C71._)"
9381/3 ,Gliomatosis cerebri (C71._)
9382/3 ,Mixed glioma (C71._)
9383/1 ,Subependymoma (C71._)
9384/1 ,Subependymal giant cell astrocytoma (C71._)
9390/0 ,"Choroid plexus papilloma, NOS (C71.5)"
9390/1 ,Atypical choroid plexus papilloma (C71.5)
9390/3 ,Choroid plexus carcinoma (C71.5)
9391/3 ,"Ependymoma, NOS (C71._)"
9392/3 ,"Ependymoma, anaplastic (C71._)"
9393/3, Papillary ependymoma (C71._)
9394/1 ,Myxopapillary ependymoma (C72.0)
9400/3 ,"Astrocytoma, NOS (C71._)"
9401/3 ,"Astrocytoma, anaplastic (C71._)"
9410/3 ,Protoplasmic astrocytoma (C71._)
9411/3 ,Gemistocytic astrocytoma (C71._)
9412/1 ,Desmoplastic infantile astrocytoma (C71._)
9413/0 ,Dysembryoplastic neuroepithelial tumour
9420/3 ,Fibrillary astrocytoma (C71._)
9421/1 ,Pilocytic astrocytoma (C71._)
9423/3 ,Polar spongioblastoma (C71._)
9424/3 ,Pleomorphic xanthroastrocytoma (C71._)
9430/3 ,Astroblastoma (C71._)
9440/3 ,"Glioblastoma, NOS (C71._)"
9441/3 ,Giant cell glioblastoma (C71._)
9442/1 ,Gliofibroma (C71._)
9442/3 ,Gliosarcoma (C71._)
9444/1 ,Chordoid glioma (C71._)
9450/3 ,"Oligodendroglioma, NOS (C71._)"
9451/3 ,"Oligodendroglioma, anaplastic (C71._)"
9460/3 ,Oligodendroblastoma (C71._) (obs)
9470/3 ,"Medulloblastoma, NOS (C71.6)"
9471/3 ,Desmoplastic nodular medulloblastoma (C71.6)
9472/3 ,Medullomyoblastoma (C71.6)
9473/3 ,"Primitive neuroectodermal tumour, NOS"
9474/3 ,Large cell medulloblastoma (C71.6)
9480/3 ,"Cerebellar sarcoma, NOS (C71.6) (obs)"
9490/0 ,Ganglioneuroma
9490/3 ,Ganglioneuroblastoma
9491/0 ,Ganglioneuromatosis
9492/0 ,Gangliocytoma
9493/0 ,Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos) (C71.6)
9500/3 ,"Neuroblastoma, NOS"
9501/0 ,"Medulloepithelioma, benign (C69.4)"
9501/3 ,"Medulloepithelioma, NOS"
9502/0 ,"Teratoid medulloepithelioma, benign (C69.4)"
9502/3 ,Teratoid medulloepithelioma
9503/3 ,"Neuroepithelioma, NOS"
9504/3 ,Spongioneuroblastoma
9505/1 ,"Ganglioglioma, NOS"
9505/3 ,"Ganglioglioma, anaplastic"
9506/1 ,Central neurocytoma
9507/0 ,Pacinian tumour
9508/3 ,Atypical teratoid/rhabdoid tumour (C71._)
9510/0 ,Retinocytoma (C69.2)
9510/3 ,"Retinoblastoma, NOS (C69.2)"
9511/3 ,"Retinoblastoma, differentiated (C69.2)"
9512/3 ,"Retinoblastoma, undifferentiated (C69.2)"
9513/3 ,"Retinoblastoma, diffuse (C69.2)"
9514/1 ,"Retinoblastoma, spontaneously regressed (C69.2)"
9520/3 ,Olfactory neurogenic tumour
9521/3 ,Olfactory neurocytoma (C30.0)
9522/3 ,Olfactory neuroblastoma (C30.0)
9523/3 ,Olfactory neuroepithelioma (C30.0)
9530/0 ,"Meningioma, NOS"
9530/1 ,"Meningiomatosis, NOS"
9530/3 ,"Meningioma, malignant"
9531/0 ,Meningothelial meningioma
9532/0 ,Fibrous meningioma
9533/0 ,Psammomatous meningioma
9534/0 ,Angiomatous meningioma
9535/0 ,Haemangioblastic meningioma (obs)
9537/0 ,Transitional meningioma
9538/1 ,Clear cell meningioma
9538/3 ,Papillary meningioma
9539/1 ,Atypical meningioma
9539/3 ,Meningeal sarcomatosis
9540/0 ,"Neurofibroma, NOS"
9540/1 ,"Neurofibromatosis, NOS"
9540/3 ,Malignant peripheral nerve sheath tumour
9541/0 ,Melanotic neurofibroma
9550/0 ,Plexiform neurofibroma
9560/0 ,"Neurilemmoma, NOS"
9560/1 ,Neurinomatosis
9560/3 ,"Neurilemmoma, malignant (obs)"
9561/3 ,Malignant peripheral nerve sheath tumour with rhabdomyoblastic differentiation
9562/0 ,Neurothekeoma
9570/0 ,"Neuroma, NOS"
9571/0 ,"Perineurioma, NOS"
9571/3 ,"Perineurioma, malignant"
9580/0 ,"Granular cell tumour, NOS"
9580/3 ,"Granular cell tumour, malignant"
9581/3 ,Alveolar soft part sarcoma
9582/0 ,Granular cell tumour of the sellar region (C75.1)
9590/3 ,"Malignant lymphoma, NOS"
9591/3 ,"Malignant lymphoma, non-Hodgkin's, NOS"
9596/3 ,Composite Hodgkin's and non-Hodgkin's lymphoma
9650/3 ,"Hodgkin's lymphoma, NOS"
9651/3 ,"Hodgkin's lymphoma, lymphocyte-rich"
9652/3 ,"Hodgkin's lymphoma, mixed cellularity, NOS"
9653/3 ,"Hodgkin's lymphoma, lymphocyte depletion, NOS"
9654/3 ,"Hodgkin's lymphoma, lymphocyte depletion, diffuse fibrosis"
9655/3 ,"Hodgkin's lymphoma, lymphocyte depletion, reticular"
9659/3 ,"Hodgkin's lymphoma, nodular lymphocyte predominance"
9661/3 ,Hodgkin's granuloma (obs)
9662/3 ,Hodgkin's sarcoma (obs)
9663/3 ,"Hodgkin's lymphoma, nodular sclerosis, NOS"
9664/3 ,"Hodgkin's lymphoma, nodular sclerosis, cellular phase"
9665/3 ,"Hodgkin's lymphoma, nodular sclerosis, grade 1"
9667/3 ,"Hodgkin's lymphoma, nodular sclerosis, grade 2"
9670/3 ,"Malignant lymphoma, small B lymphocytic, NOS (see also 9823/3)"
9671/3 ,"Malignant lymphoma, lymphoplasmacytic (see also 9761/3)"
9673/3 ,Mantle cell lymphoma
9675/3 ,"Malignant lymphoma, mixed small and large cell, diffuse (obs) (see also 9690/3)"
9678/3 ,Primary effusion lymphoma
9679/3 ,Mediastinal large B-cell lymphoma (C38.3)
9680/3 ,"Malignant lymphoma, large B-cell, diffuse, NOS"
9684/3 ,"Malignant lymphoma, large B-cell, diffuse, immunoblastic, NOS"
9687/3 ,"Burkitt's lymphoma, NOS (see also 9826/3)"
9689/3 ,Splenic marginal B-zone lymphoma (C42.2)
9690/3 ,"Follicular lymphoma, NOS (see also 9675/3)"
9691/3 ,"Follicular lymphoma, grade 2"
9695/3 ,"Follicular lymphoma, grade 1"
9698/3 ,"Follicular lymphoma, grade 3"
9699/3 ,"Marginal zone B-cell lymphoma, NOS"
9700/3 ,Mycosis fungoides (C44._)
9701/3 ,S?zary's syndrome
9702/3 ,"Mature T-cell lymphoma, NOS"
9705/3 ,Angioimmunoblastic T-cell lymphoma
9708/3 ,Subcutaneous panniculitis-like T-cell lymphoma
9709/3 ,"Cutaneous T-cell lymphoma, NOS (C44._)"
9714/3 ,"Anaplastic large cell lymphoma, T-cell and Null cell type"
9716/3 ,Hepatosplenic gamma-delta cell lymphoma
9717/3 ,Intestinal T-cell lymphoma
9718/3 ,Primary cutaneous CD30+ T-cell lymphoproliferative disorder (C44._)
9719/3 ,"NK/T-cell lymphoma, nasal and nasal-type"
9727/3 ,"Precursor cell lymphoblastic lymphoma, NOS (see also 9835/3)"
9728/3 ,Precursor B-cell lymphoblastic lymphoma (see also 9836/3)
9729/3 ,Precursor T-cell lymphoblastic lymphoma (see also 9837/3)
9731/3 ,"Plasmacytoma, NOS"
9732/3 ,Multiple myeloma (C42.1)
9733/3 ,Plasma cell leukaemia (C42.1)
9734/3 ,"Plasmacytoma, extramedullary (not occurring in bone)"
9740/1 ,"Mastocytoma, NOS"
9740/3 ,Mast cell sarcoma
9741/3 ,Malignant mastocytosis
9742/3 ,Mast cell leukaemia (C42.1)
9750/3 ,Malignant histiocytosis
9751/1 ,"Langerhans cell histiocytosis, NOS"
9752/1 ,"Langerhans cell histiocytosis, unifocal"
9753/1 ,"Langerhans cell histiocytosis, multifocal"
9754/3 ,"Langerhans cell histiocytosis, disseminated"
9755/3 ,Histiocytic sarcoma
9756/3 ,Langerhans cell sarcoma
9757/3 ,Interdigitating dendritic cell sarcoma
9758/3 ,Follicular dendritic cell sarcoma
9760/3,"Immunoproliferative disease, NOS"
9761/3 ,Waldenstr?m's macroglobulinaemia (C42.0) (see also 9671/3)
9762/3 ,"Heavy chain disease, NOS"
9764/3 ,Immunoproliferative small intestinal disease (C17._)
9765/1 ,Monoclonal gammopathy of undetermined significance
9766/1 ,Angiocentric immunoproliferative lesion
9767/1 ,Angioimmunoblastic lymphadenopathy
9768/1 ,T-gamma lymphoproliferative disease
9769/1 ,Immunoglobulin deposition disease
9800/3 ,"Leukaemia, NOS"
9801/3 ,"Acute leukaemia, NOS"
9805/3 ,Acute biphenotypic leukaemia
9820/3 ,"Lymphoid leukaemia, NOS"
9823/3 ,B-cell chronic leukaemia / small lymphocytic lymphoma (see also 9670/3)
9826/3 ,Burkitt's cell leukaemia (see also 9687/3)
9827/3 ,Adult T-cell leukaemia/lymphoma (HTLV-1 positive)
9831/1 ,T-cell large granular lymphocytic leukaemia
9832/3 ,"Prolymphocytic leukaemia, NOS"
9833/3 ,"Prolymphocytic leukaemia, B-cell type"
9834/3 ,"Prolymphocytic leukaemia, T-cell type"
9835/3 ,"Precursor cell lymphoblastic leukaemia, NOS (see also 9727/3)"
9836/3 ,Precursor B-cell lymphoblastic leukaemia (see also 9728/3)
9837/3 ,Precursor T-cell lymphoblastic leukaemia (see also 9729/3)
9840/3 ,"Acute myeloid leukaemia, M6 type"
9860/3 ,"Myeloid leukaemia, NOS"
9861/3 ,"Acute myeloid leukaemia, NOS (FAB or WHO type not specified) (see also 9930/3)"
9863/3 ,"Chronic myeloid leukaemia, NOS"
9866/3 ,"Acute promyelocytic leukaemia, t(15;17)(q22;q11-12)"
9867/3 ,Acute myelomonocytic leukaemia
9870/3 ,Acute basophilic leukaemia
9871/3 ,Acute myeloid leukaemia with abnormal marrow eosinophils
9872/3 ,"Acute myeloid leukaemia, minimal differentiation"
9873/3 ,Acute myeloid leukaemia without maturation
9874/3 ,Acute myeloid leukaemia with maturation
9875/3 ,"Chronic myelogenous leukaemia, BCR/ABL positive"
9876/3,"Atypical chronic myeloid leukaemia, BCR/ABL negative"
9891/3 ,Acute monocytic leukaemia
9895/3 ,Acute myeloid leukaemia with multilineage dysplasia
9896/3 ,"Acute myeloid leukaemia, t(8;21)(q22;q22)"
9897/3 ,"Acute myeloid leukaemia, 11q23 abnormalities"
9910/3 ,Acute megakaryoblastic leukaemia
9920/3 ,"Therapy-related acute myeloid leukaemia, NOS"
9930/3 ,Myeloid sarcoma (see also 9861/3)
9931/3 ,Acute panmyelosis with myelofibrosis (C42.1)
9940/3,Hairy cell leukaemia (C42.1)
9945/3 ,"Chronic myelomonocytic leukaemia, NOS"
9946/3 ,Juvenile myelomonocytic leukaemia
9948/3 ,Aggressive NK-cell leukaemia
9950/3 ,Polycythaemia vera
9960/3 ,"Chronic myeloproliferative disease, NOS"
9961/3 ,Myelosclerosis with myeloid metaplasia
9962/3 ,Essential thrombocythaemia
9963/3 ,Chronic neutrophilic leukaemia
9964/3 ,Hypereosinophilic syndrome
9970/1 ,"Lymphoproliferative disorder, NOS"
9975/1 ,"Myeloproliferative disease, NOS"
9980/3 ,Refractory anaemia
9982/3,Refractory anaemia with sideroblasts
9983/3 ,Refractory anaemia with excess blasts
9984/3 ,Refractory anaemia with excess blasts in transformation (obs)
9985/3 ,Refractory cytopenia with multilineage dysplasia
9986/3 ,Myelodysplastic syndrome with 5q deletion (5q-) syndrome
9987/3 ,"Therapy-related myelodysplastic syndrome, NOS"
9989/3 ,"Myelodysplastic syndrome, NOS"
